Japan;Tokyo Stock Exchange
Japan;TSE
Canada;Toronto Stock Exchange 
Canada;Winnipeg Commodity Exchange 
Canada;TOSE
Canada;WCE
Canada;Montreal Stock Exchange
Canada;MOSE
France;Paris Stock Exchange
France;Paris Stock Bourse
France;PSE
West Germany;Frankfurt Stock Exchange
West Germany;Frankfurt Stock Bourse
West Germany;FSE
USA;American Stock Exchange
USA;AMEX
USA;New York Coffee, Sugar and Cocoa Exchange
USA;NYCSCE
USA;New York Commodity Exchange
USA;COMEX
USA;New York Cotton Exchange
USA;NYCE
USA;New York Mercantile Exchange
USA;NYMEX
USA;New York Stock Exchange
USA;NYSE
USA;Chicago Board of Trade
USA;CBT
USA;Chicago Board of Trade Options Exchange
USA;CBOE
USA;Chicago Mercantile Exchange
USA;CME
USA;National Association of Securities Dealers Automated Quotation System
USA;NASDAQ
UK;London Futures and Options Exchange
UK;FOX
UK;London International Financial Futures Exchange
UK;LIFFE
UK;London Metal Exchange
UK;LME
UK;London Stock Exchange
UK;LSE
UK;International Petroleum Exchange
UK;IPE
UK;Baltic International Freight Futures Exchange
UK;BIFFEX
